order_item_id,order_id,product_id,quantity
1,1,1,1
2,2,2,2
3,3,3,1
4,4,4,2
5,5,5,1
6,6,6,3
7,7,7,1
8,8,8,2
9,9,1,1
10,10,2,2
11,11,3,1
12,12,4,3
13,13,5,1
14,14,6,2
15,15,7,1
16,16,8,2
17,17,1,1
18,18,2,3
19,19,3,1
20,20,4,2
21,21,5,1
22,22,6,2
23,23,7,1
24,24,8,2
25,25,1,1
26,26,2,3
27,27,3,1
28,28,4,2
29,29,5,1
30,30,6,2
31,31,7,1
32,32,8,3
33,33,1,1
34,34,2,2
35,35,3,1
36,36,4,3
37,37,5,1
38,38,6,2
39,39,7,1
40,40,8,2
41,41,1,1
42,42,2,3
43,43,3,1
44,44,4,2
45,45,5,1
46,46,6,2
47,47,7,1
48,48,8,3
49,49,1,1
50,50,2,2
51,51,3,1
52,52,4,3
53,53,5,1
54,54,6,2
55,55,7,1
56,56,8,2
57,57,1,1
58,58,2,3
59,59,3,1
60,60,4,2
61,61,5,1
62,62,6,2
63,63,7,1
64,64,8,3
65,65,1,1
66,66,2,2
67,67,3,1
68,68,4,3
69,69,5,1
70,70,6,2
71,71,7,1
72,72,8,2
73,73,1,1
74,74,2,3
75,75,3,1
76,76,4,2
77,77,5,1
78,78,6,2
79,79,7,1
80,80,8,3
81,81,1,1
82,82,2,2
83,83,3,1
84,84,4,3
85,85,5,1
86,86,6,2
87,87,7,1
88,88,8,2
89,89,1,1
90,90,2,3
91,91,3,1
92,92,4,2
93,93,5,1
94,94,6,2
95,95,7,1
96,96,8,3
97,97,1,1
98,98,2,2
99,99,3,1
100,100,4,3
101,101,5,1
102,102,6,2
103,103,7,1
104,104,8,2
105,105,1,1
106,106,2,3
107,107,3,1
108,108,4,2
109,109,5,1
110,110,6,2
111,111,7,1
112,112,8,3
113,113,1,1
114,114,2,2
115,115,3,1
116,116,4,3
117,117,5,1
118,118,6,2
119,119,7,1
120,120,8,2