order_id,order_date,year,quarter,month
1,2020-04-14 19:59:10.340663,2020,2,April
2,2022-06-19 19:49:00.777498,2022,2,June
3,2023-04-22 10:34:29.264475,2023,2,April
4,2020-06-05 17:30:50.324055,2020,2,June
5,2022-11-08 07:38:02.311339,2022,4,November
6,2021-08-25 13:15:11.343488,2021,3,August
7,2023-01-04 07:06:42.948011,2023,1,January
8,2023-06-13 10:58:52.568969,2023,2,June
9,2020-07-13 11:01:54.610524,2020,3,July
10,2023-08-16 19:11:30.349707,2023,3,August
11,2023-06-26 10:40:56.691018,2023,2,June
12,2022-01-08 01:30:20.135054,2022,1,January
13,2020-09-03 10:07:09.959401,2020,3,September
14,2020-12-28 05:36:18.032453,2020,4,December
15,2022-06-08 12:52:31.600916,2022,2,June
16,2021-05-26 22:42:24.746774,2021,2,May
17,2023-01-05 17:00:42.850486,2023,1,January
18,2023-09-08 12:22:34.127869,2023,3,September
19,2023-12-24 18:25:45.741729,2023,4,December
20,2023-02-27 23:21:04.240684,2023,1,February
21,2020-02-23 21:14:00.059118,2020,1,February
22,2022-02-10 22:42:02.312284,2022,1,February
23,2020-10-14 18:47:53.640833,2020,4,October
24,2021-06-03 09:26:18.860656,2021,2,June
25,2023-02-26 22:09:46.412661,2023,1,February
26,2020-08-08 03:29:30.662071,2020,3,August
27,2020-10-10 23:36:47.113361,2020,4,October
28,2023-11-02 17:55:19.886774,2023,4,November
29,2020-06-17 09:04:51.155786,2020,2,June
30,2022-08-10 11:09:47.758524,2022,3,August
31,2023-01-05 10:10:34.638328,2023,1,January
32,2023-07-12 17:57:55.112041,2023,3,July
33,2023-01-03 11:47:40.470887,2023,1,January
34,2022-04-29 05:42:40.129725,2022,2,April
35,2023-03-29 03:55:46.355348,2023,1,March
36,2023-11-05 19:04:39.986705,2023,4,November
37,2021-08-17 23:38:10.015443,2021,3,August
38,2022-04-20 04:12:36.131617,2022,2,April
39,2020-10-05 11:50:46.659871,2020,4,October
40,2021-01-25 02:49:50.604000,2021,1,January
41,2021-11-18 15:03:02.911499,2021,4,November
42,2022-06-01 13:06:27.435266,2022,2,June
43,2021-02-20 19:50:23.819665,2021,1,February
44,2021-06-18 22:07:05.303544,2021,2,June
45,2023-05-28 04:35:02.187909,2023,2,May
46,2021-08-26 11:02:47.582356,2021,3,August
47,2023-01-04 19:10:24.419599,2023,1,January
48,2022-10-16 21:30:33.626227,2022,4,October
49,2021-03-28 03:11:10.864571,2021,1,March
50,2020-02-13 20:53:04.759346,2020,1,February
51,2021-11-18 00:02:10.648095,2021,4,November
52,2023-07-10 01:25:52.354283,2023,3,July
53,2021-07-27 10:38:50.119681,2021,3,July
54,2022-03-02 02:28:11.231447,2022,1,March
55,2022-10-23 11:35:14.344108,2022,4,October
56,2021-08-18 10:05:17.709710,2021,3,August
57,2023-04-02 10:48:14.426136,2023,2,April
58,2021-03-09 05:09:18.334733,2021,1,March
59,2021-08-10 02:19:08.444880,2021,3,August
60,2021-09-15 12:26:25.636273,2021,3,September
61,2023-08-23 07:34:45.755800,2023,3,August
62,2021-07-15 08:52:40.264428,2021,3,July
63,2022-12-09 08:13:48.882484,2022,4,December
64,2021-05-30 06:54:07.746578,2021,2,May
65,2023-06-03 19:03:05.109993,2023,2,June
66,2020-09-16 18:26:46.845612,2020,3,September
67,2021-06-16 17:20:31.297845,2021,2,June
68,2021-09-21 22:04:41.829082,2021,3,September
69,2022-12-24 13:18:32.362663,2022,4,December
70,2021-08-21 16:00:02.556599,2021,3,August
71,2021-05-29 04:41:18.638088,2021,2,May
72,2020-01-26 16:25:31.205273,2020,1,January
73,2022-12-29 15:47:31.492245,2022,4,December
74,2020-02-05 15:05:02.340125,2020,1,February
75,2023-05-26 14:59:35.008266,2023,2,May
76,2021-11-29 14:56:12.021888,2021,4,November
77,2021-06-21 23:57:19.200341,2021,2,June
78,2020-09-09 02:51:38.975532,2020,3,September
79,2021-12-15 01:18:56.820052,2021,4,December
80,2023-04-25 22:09:19.846966,2023,2,April
81,2023-03-31 12:00:44.878439,2023,1,March
82,2023-03-06 10:15:13.351336,2023,1,March
83,2021-01-26 03:12:40.424842,2021,1,January
84,2021-10-11 14:42:32.276738,2021,4,October
85,2021-03-30 02:44:12.546951,2021,1,March
86,2022-03-07 22:41:06.737950,2022,1,March
87,2020-07-24 00:30:56.468198,2020,3,July
88,2022-07-07 19:30:30.816671,2022,3,July
89,2020-12-06 03:56:53.459952,2020,4,December
90,2020-07-31 12:01:14.061460,2020,3,July
91,2021-04-11 00:13:43.435151,2021,2,April
92,2020-12-02 04:59:46.558436,2020,4,December
93,2023-01-06 09:55:30.595880,2023,1,January
94,2022-01-06 13:31:55.214467,2022,1,January
95,2021-08-21 02:33:50.926446,2021,3,August
96,2021-03-28 19:27:38.246226,2021,1,March
97,2022-06-19 23:40:25.998974,2022,2,June
98,2020-08-17 04:25:40.887615,2020,3,August
99,2020-03-22 08:00:23.905599,2020,1,March
100,2023-11-08 01:10:31.283535,2023,4,November
101,2020-01-26 14:05:02.873449,2020,1,January
102,2023-05-03 10:12:43.817326,2023,2,May
103,2022-03-20 01:21:22.559489,2022,1,March
104,2021-01-25 15:35:06.724261,2021,1,January
105,2022-04-28 07:37:07.064783,2022,2,April
106,2022-01-23 07:40:51.720459,2022,1,January
107,2022-12-18 17:59:37.306375,2022,4,December
108,2020-04-14 20:38:49.438673,2020,2,April
109,2020-05-16 02:39:31.839010,2020,2,May
110,2022-08-06 14:25:26.076832,2022,3,August
111,2020-07-26 02:21:01.324981,2020,3,July
112,2021-04-12 19:51:00.016138,2021,2,April
113,2020-03-26 08:52:49.485773,2020,1,March
114,2022-06-06 04:22:35.512580,2022,2,June
115,2023-05-25 14:38:48.974128,2023,2,May
116,2023-07-14 21:35:42.912478,2023,3,July
117,2022-11-22 12:38:23.236121,2022,4,November
118,2020-05-02 00:47:01.674310,2020,2,May
119,2023-01-15 19:41:52.248480,2023,1,January
120,2022-11-23 09:43:38.720831,2022,4,November
121,2021-09-06 11:05:29.262307,2021,3,September
122,2022-03-24 19:39:12.629932,2022,1,March
123,2021-12-23 19:44:05.767489,2021,4,December
124,2022-09-01 17:49:00.483119,2022,3,September
125,2021-09-20 02:46:42.395426,2021,3,September
126,2021-06-19 01:27:22.070234,2021,2,June
127,2023-05-20 08:50:39.909484,2023,2,May
128,2023-11-17 13:21:34.873833,2023,4,November
129,2021-12-05 19:57:18.745752,2021,4,December
130,2021-05-02 11:35:52.501474,2021,2,May
131,2023-12-12 02:39:49.924376,2023,4,December
132,2022-08-03 07:30:39.642291,2022,3,August
133,2023-11-27 16:21:24.684390,2023,4,November
134,2020-09-25 14:35:16.479538,2020,3,September
135,2020-11-24 22:23:15.347459,2020,4,November
136,2020-10-10 00:15:36.211341,2020,4,October
137,2021-12-17 22:37:26.177795,2021,4,December
138,2020-05-22 11:38:16.752735,2020,2,May
139,2020-08-06 15:13:56.081527,2020,3,August
140,2023-05-26 23:01:48.570938,2023,2,May
141,2023-08-26 23:31:19.802981,2023,3,August
142,2020-11-24 05:19:08.563031,2020,4,November
143,2023-06-28 13:58:49.493926,2023,2,June
144,2020-01-06 20:24:15.208798,2020,1,January
145,2020-05-08 00:43:11.499074,2020,2,May
146,2023-06-22 19:47:48.916034,2023,2,June
147,2020-09-16 05:17:23.098571,2020,3,September
148,2022-02-18 19:21:27.984967,2022,1,February
149,2021-12-15 06:41:40.392394,2021,4,December
150,2023-04-03 23:04:47.392701,2023,2,April
151,2023-04-14 08:07:25.193193,2023,2,April
152,2021-12-24 10:03:54.340593,2021,4,December
153,2022-12-11 18:36:07.665764,2022,4,December
154,2023-06-06 16:49:45.562025,2023,2,June
155,2023-06-06 18:24:37.646592,2023,2,June
156,2021-07-09 16:18:55.149988,2021,3,July
157,2021-11-06 00:45:23.360207,2021,4,November
158,2022-06-08 01:31:32.751279,2022,2,June
159,2020-12-27 05:14:17.214050,2020,4,December
160,2022-08-19 10:04:51.611853,2022,3,August
161,2023-08-04 17:30:42.417930,2023,3,August
162,2021-01-25 12:11:23.266481,2021,1,January
163,2023-05-01 21:29:52.085548,2023,2,May
164,2023-04-10 01:47:31.215832,2023,2,April
165,2023-10-21 16:31:07.234614,2023,4,October
166,2023-02-20 18:49:47.679718,2023,1,February
167,2022-08-25 16:34:19.589991,2022,3,August
168,2022-08-09 09:05:58.373672,2022,3,August
169,2021-03-21 11:11:01.819669,2021,1,March
170,2021-11-20 08:24:01.392254,2021,4,November
171,2022-03-13 09:41:27.334427,2022,1,March
172,2021-12-11 13:36:23.762757,2021,4,December
173,2020-08-19 06:34:28.128194,2020,3,August
174,2021-09-04 08:05:01.677738,2021,3,September
175,2021-03-21 11:21:33.138276,2021,1,March
176,2020-02-28 01:06:47.679954,2020,1,February
177,2020-04-17 09:20:51.281579,2020,2,April
178,2021-12-08 04:55:18.558684,2021,4,December
179,2023-11-24 03:00:26.858881,2023,4,November
180,2021-08-04 01:20:32.265477,2021,3,August
181,2022-11-04 19:34:18.703007,2022,4,November
182,2022-09-14 03:38:08.450421,2022,3,September
183,2020-11-14 14:52:27.351292,2020,4,November
184,2021-07-18 12:16:52.294911,2021,3,July
185,2021-08-20 17:30:32.898340,2021,3,August
186,2023-02-05 01:26:24.707061,2023,1,February
187,2020-07-19 20:35:47.238325,2020,3,July
188,2022-06-09 15:43:32.428803,2022,2,June
189,2021-12-26 16:30:22.228946,2021,4,December
190,2022-09-01 14:31:36.268116,2022,3,September
191,2020-05-23 01:20:04.939304,2020,2,May
192,2020-01-02 19:35:40.449989,2020,1,January
193,2022-01-02 16:53:12.781176,2022,1,January
194,2022-12-15 14:46:38.297894,2022,4,December
195,2023-03-28 05:55:27.141306,2023,1,March
196,2021-12-02 16:21:13.675201,2021,4,December
197,2020-01-29 14:13:35.629735,2020,1,January
198,2023-04-18 15:06:08.844243,2023,2,April
199,2021-06-04 17:53:02.836234,2021,2,June
200,2023-10-02 10:42:34.435728,2023,4,October
